ministry,unitCode,legacyReference,name,parentUnitCode,unitType,department,isVirtual
HOME,Chittoor Mahila Urban Circle,2014249,Chittoor Mahila Urban Circle,Chittoor Traffic Urban SDPO,Circle,L&O,FALSE
HOME,Chittoor I Town Urban Circle,2014246,Chittoor I Town Urban Circle,Chittoor Mahila Urban SDPO,Circle,L&O,FALSE
HOME,Chittoor II Town Urban Circle,2014245,Chittoor II Town Urban Circle,Chittoor SDPO,Circle,L&O,FALSE
HOME,Chittoor Rural East Circle,2014201,Chittoor Rural East Circle,Chittoor SDPO,Circle,L&O,FALSE
HOME,G.D.Nellore Urban Circle,2014251,G.D.Nellore Urban Circle,Chittoor SDPO,Circle,L&O,FALSE
HOME,Chittoor Rural West Circle,2014202,Chittoor Rural West Circle,Chittoor SDPO,Circle,L&O,FALSE
HOME,Kallur Circle,2014239,Kallur Circle,Chittoor SDPO,Circle,L&O,FALSE
HOME,Puthalapattu Urban Circle,2014252,Puthalapattu Urban Circle,Chittoor SDPO,Circle,L&O,FALSE
HOME,Nagari Urban Circle,2014250,Nagari Urban Circle,Chittoor SDPO,Circle,L&O,FALSE
HOME,K.Nagar Circle,2014205,K.Nagar Circle,Nagari SDPO,Circle,L&O,FALSE
HOME,Nagari Rural Circle,2014206,Nagari Rural Circle,Nagari SDPO,Circle,L&O,FALSE
HOME,Bangarupalem Urban Circle,2014240,Bangarupalem Urban Circle,Nagari SDPO,Circle,L&O,FALSE
HOME,Amalapuram Rural Circle,2017203,Amalapuram Rural Circle,Palamaner SDPO,Circle,L&O,FALSE
HOME,Mummidivaram Circle,2017204,Mummidivaram Circle,Amalapuram SDPO,Circle,L&O,FALSE
HOME,P.Gannavaram Circle,2060201,P.Gannavaram Circle,Amalapuram SDPO,Circle,L&O,FALSE
HOME,Ravulapalem Circle,2017206,Ravulapalem Circle,Kothapeta SDPO,Circle,L&O,FALSE
HOME,Razole Circle,2017205,Razole Circle,Kothapeta SDPO,Circle,L&O,FALSE
HOME,Mandapeta Rural Circle,2017215,Mandapeta Rural Circle,Kothapeta SDPO,Circle,L&O,FALSE
HOME,Ramachandrapuram Circle,2017213,Ramachandrapuram Circle,East Zone,Circle,L&O,FALSE
HOME,Anaparthi Circle,2017214,Anaparthi Circle,Ramachandrapuram SDPO,Circle,L&O,FALSE
HOME,Devarapalli Circle,2017227,Devarapalli Circle,East Zone,Circle,L&O,FALSE
HOME,Kovvur Rural Circle,2017228,Kovvur Rural Circle,Kovvur SDPO,Circle,L&O,FALSE
HOME,Nidadavole Circle,2018210,Nidadavole Circle,Kovvur SDPO,Circle,L&O,FALSE
HOME,Korukonda Circle,2042212,Korukonda Circle,Kovvur SDPO,Circle,L&O,FALSE
HOME,Bhimadole Circle,2018202,Bhimadole Circle,North Zone,Circle,L&O,FALSE
HOME,Eluru I Town UPS Circle,2059204,Eluru I Town UPS Circle,Eluru SDPO,Circle,L&O,FALSE
HOME,Nidamarru Circle,2018203,Nidamarru Circle,Eluru SDPO,Circle,L&O,FALSE
HOME,Kaikaluru Rural Circle,2059201,Kaikaluru Rural Circle,Eluru SDPO,Circle,L&O,FALSE
HOME,Chintalapudi Circle,2018206,Chintalapudi Circle,Eluru SDPO,Circle,L&O,FALSE
HOME,Jangareddygudem Circle,2018204,Jangareddygudem Circle,Jangareddygudem SDPO,Circle,L&O,FALSE
HOME,Nuzvid Rural Circle,2026212,Nuzvid Rural Circle,Jangareddygudem SDPO,Circle,L&O,FALSE
HOME,Pedavegi Circle,2059203,Pedavegi Circle,Nuzvid SDPO,Circle,L&O,FALSE
HOME,Jeelugumilli Circle,2059202,Jeelugumilli Circle,Nuzvid SDPO,Circle,L&O,FALSE
HOME,Kukunoor Circle,2018216,Kukunoor Circle,Polavaram SDPO,Circle,L&O,FALSE
HOME,Polavaram Circle,2018205,Polavaram Circle,Polavaram SDPO,Circle,L&O,FALSE
HOME,Mangalagiri Rural Circle,2043220,Mangalagiri Rural Circle,Polavaram SDPO,Circle,L&O,FALSE
HOME,Prathipadu(GNT) Circle,2043224,Prathipadu Circle,North Sub Division,Circle,L&O,FALSE
HOME,Ponnur Rural Circle,2019201,Ponnur Rural Circle,South Sub Division,Circle,L&O,FALSE
HOME,Tenali Rural Circle,2019215,Tenali Rural Circle,Tenali SDPO,Circle,L&O,FALSE
HOME,Kakinada Rural Circle,2017201,Kakinada Rural Circle,Tenali SDPO,Circle,L&O,FALSE
HOME,Pithapuram Circle,2017202,Pithapuram Circle,Kakinada SDPO,Circle,L&O,FALSE
HOME,Jaggampeta Circle,2017208,Jaggampeta Circle,Kakinada SDPO,Circle,L&O,FALSE
HOME,Peddapuram Circle,2017207,Peddapuram Circle,Peddapuram SDPO,Circle,L&O,FALSE
HOME,Tuni Rural Circle,2017220,Tuni Rural Circle,Peddapuram SDPO,Circle,L&O,FALSE
HOME,Avanigadda Circle,2026200,Avanigadda Circle,Peddapuram SDPO,Circle,L&O,FALSE
HOME,Challapalli Circle,2026201,Challapalli Circle,Avanigadda SDPO,Circle,L&O,FALSE
HOME,Bandar Rural Circle,2026203,Bandar Rural Circle,Avanigadda SDPO,Circle,L&O,FALSE
HOME,Robertsonpet UPS Circle,2026218,Robertsonpet UPS Circle,Bandar SDPO,Circle,L&O,FALSE
HOME,Gannavaram UPS Circle,2026215,Gannavaram UPS Circle,Bandar SDPO,Circle,L&O,FALSE
HOME,Hanuman Junction Circle,2026210,Hanuman Junction Circle,Gannavaram SDPO,Circle,L&O,FALSE
HOME,Kankipadu Circle,2039200,Kankipadu Circle,Gannavaram SDPO,Circle,L&O,FALSE
HOME,Gudivada I Town UPS Circle,2026217,Gudivada I Town UPS Circle,Gannavaram SDPO,Circle,L&O,FALSE
HOME,Gudivada Rural Circle,2026204,Gudivada Rural Circle,Gudivada SDPO,Circle,L&O,FALSE
HOME,Pamarru Circle,2026207,Pamarru Circle,Gudivada SDPO,Circle,L&O,FALSE
HOME,Pamidimukkala Circle,2026216,Pamidimukkala Circle,Gudivada SDPO,Circle,L&O,FALSE
HOME,Adoni Rural Circle,2027207,Adoni Rural Circle,Gudivada SDPO,Circle,L&O,FALSE
HOME,Kodumur Circle,2027204,Kodumur Circle,Adoni SDPO,Circle,L&O,FALSE
HOME,Kurnool Rural Circle,2027203,Kurnool Rural Circle,Kurnool SDPO,Circle,L&O,FALSE
HOME,Alur Circle,2027209,Alur Circle,Kurnool SDPO,Circle,L&O,FALSE
HOME,Pathikonda Rural Circle,2027223,Pathikonda Rural Circle,Pathikonda SDPO,Circle,L&O,FALSE
HOME,Veldurthy Circle,2027229,Veldurthy Circle,Pathikonda SDPO,Circle,L&O,FALSE
HOME,Kosigi Circle,2027210,Kosigi Circle,Pathikonda SDPO,Circle,L&O,FALSE
HOME,Mantralayam Circle,2027228,Mantralayam Circle,Yemmiganur SDPO,Circle,L&O,FALSE
HOME,Yemmiganur Rural Circle,2027208,Yemmiganur Rural Circle,Yemmiganur SDPO,Circle,L&O,FALSE
HOME,Yemmiganur Town UPS Circle,2027230,Yemmiganur Town UPS Circle,Yemmiganur SDPO,Circle,L&O,FALSE
HOME,Allagadda Rural Circle,2027211,Allagadda Rural Circle,Yemmiganur SDPO,Circle,L&O,FALSE
HOME,Koilakuntla Circle,2027213,Koilakuntla Circle,Allagadda SDPO,Circle,L&O,FALSE
HOME,Sirivella Circle,2027212,Sirivella Circle,Allagadda SDPO,Circle,L&O,FALSE
HOME,Atmakur Circle(NDL),2027218,Atmakur Circle,Allagadda SDPO,Circle,L&O,FALSE
HOME,Nandikotkur Rural Circle,2027219,Nandikotkur Rural Circle,Atmakur SDPO(NDL),Circle,L&O,FALSE
